trial,stim,likert_flipped,presented_intensity
0,catch_trial_white_1,False,
1,whites,True,0.5
2,catch_trial_black_2,False,
3,sbc,True,0.49
4,catch_trial_black_4,False,
5,whites_separate,False,0.51
6,catch_trial_white_2,False,
7,bullseye_high_freq,False,0.5
8,catch_trial_black_3,False,
9,checkerboard,False,0.5
10,catch_trial_black_1,False,
11,sbc_separate,False,0.51
12,catch_trial_white_5,False,
13,strip,False,0.49
14,catch_trial_white_3,False,
15,checkerboard,True,0.5
16,catch_trial_white_4,False,
17,whites_separate,True,0.51
18,catch_trial_black_5,False,
19,bullseye_low_separate,False,0.49
20,bullseye_high_freq,True,0.5
21,bullseye_low_separate,True,0.49
22,checkerboard_separate,False,0.51
23,whites,False,0.5
24,sbc_separate,True,0.51
25,sbc,False,0.49
26,strip,True,0.49
27,checkerboard_separate,True,0.51
