trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_black_3,Left,0.5,False
1,checkerboard,Right,0.5,True
2,sbc,Left,0.49,True
3,whites,Left,0.5,True
4,sbc_separate,Left,0.51,False
5,catch_trial_white_3,Right,0.5,False
6,whites,Right,0.5,True
7,bullseye_high_freq,Left,0.5,True
8,checkerboard_separate,Right,0.51,True
9,whites_separate,Right,0.51,True
10,catch_trial_white_3,Left,0.5,False
11,sbc,Right,0.49,False
12,strip,Left,0.49,False
13,bullseye_low_separate,Left,0.49,True
14,whites_separate,Left,0.51,True
15,catch_trial_black_3,Right,0.5,False
16,sbc_separate,Right,0.51,True
17,strip,Right,0.49,True
18,checkerboard_separate,Left,0.51,False
19,bullseye_high_freq,Right,0.5,True
20,bullseye_low_separate,Right,0.49,True
21,checkerboard,Left,0.5,False
