trial,stim,likert_flipped,presented_intensity
0,catch_trial_white_3,False,
1,whites,False,0.5
2,catch_trial_black_2,False,
3,checkerboard,True,0.5
4,catch_trial_black_1,False,
5,bullseye_high_freq,True,0.5
6,catch_trial_black_5,False,
7,whites_separate,False,0.51
8,catch_trial_white_4,False,
9,whites,True,0.5
10,catch_trial_white_2,False,
11,sbc,True,0.49
12,catch_trial_black_3,False,
13,sbc,False,0.49
14,catch_trial_white_1,False,
15,strip,True,0.49
16,catch_trial_white_5,False,
17,bullseye_high_freq,False,0.5
18,catch_trial_black_4,False,
19,bullseye_low_separate,True,0.49
20,whites_separate,True,0.51
21,checkerboard_separate,True,0.51
22,checkerboard,False,0.5
23,sbc_separate,True,0.51
24,bullseye_low_separate,False,0.49
25,checkerboard_separate,False,0.51
26,strip,False,0.49
27,sbc_separate,False,0.51
