trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_black_3,Right,0.5,False
1,checkerboard,Right,0.5,False
2,checkerboard_separate,Right,0.51,False
3,bullseye_low_separate,Right,0.49,True
4,sbc,Left,0.49,False
5,catch_trial_white_3,Left,0.5,False
6,bullseye_high_freq,Left,0.5,True
7,sbc,Right,0.49,True
8,bullseye_high_freq,Right,0.5,True
9,whites,Right,0.5,True
10,catch_trial_white_3,Right,0.5,False
11,strip,Left,0.49,True
12,sbc_separate,Right,0.51,True
13,checkerboard_separate,Left,0.51,True
14,whites,Left,0.5,False
15,catch_trial_black_3,Left,0.5,False
16,whites_separate,Left,0.51,False
17,sbc_separate,Left,0.51,True
18,strip,Right,0.49,False
19,checkerboard,Left,0.5,True
20,whites_separate,Right,0.51,True
21,bullseye_low_separate,Left,0.49,True
