trial,stim,likert_flipped,presented_intensity
0,catch_trial_black_3,False,
1,bullseye_high_freq,True,0.5
2,catch_trial_white_2,False,
3,sbc_separate,False,0.51
4,catch_trial_black_4,False,
5,bullseye_high_freq,False,0.5
6,catch_trial_white_4,False,
7,checkerboard_separate,True,0.51
8,catch_trial_black_1,False,
9,strip,True,0.49
10,catch_trial_black_2,False,
11,whites,False,0.5
12,catch_trial_black_5,False,
13,sbc_separate,True,0.51
14,catch_trial_white_1,False,
15,strip,False,0.49
16,catch_trial_white_5,False,
17,checkerboard_separate,False,0.51
18,catch_trial_white_3,False,
19,bullseye_low_separate,False,0.49
20,sbc,True,0.49
21,bullseye_low_separate,True,0.49
22,checkerboard,False,0.5
23,whites_separate,True,0.51
24,checkerboard,True,0.5
25,whites,True,0.5
26,whites_separate,False,0.51
27,sbc,False,0.49
