trial,stim,likert_flipped,presented_intensity
0,catch_trial_black_2,False,
1,checkerboard_separate,False,0.5
2,catch_trial_black_1,False,
3,checkerboard,False,0.49
4,catch_trial_white_5,False,
5,checkerboard,True,0.49
6,catch_trial_white_2,False,
7,sbc_separate,True,0.5
8,catch_trial_black_3,False,
9,sbc,True,0.51
10,catch_trial_white_4,False,
11,whites_separate,True,0.5
12,catch_trial_black_4,False,
13,strip,False,0.51
14,catch_trial_black_5,False,
15,bullseye_low_separate,True,0.51
16,catch_trial_white_1,False,
17,whites_separate,False,0.5
18,catch_trial_white_3,False,
19,sbc,False,0.51
20,bullseye_high_freq,True,0.49
21,strip,True,0.51
22,bullseye_low_separate,False,0.51
23,bullseye_high_freq,False,0.49
24,whites,True,0.49
25,sbc_separate,False,0.5
26,checkerboard_separate,True,0.5
27,whites,False,0.49
