trial,stim,likert_flipped,presented_intensity
0,catch_trial_white_5,False,
1,sbc,True,0.49
2,catch_trial_white_4,False,
3,whites,False,0.5
4,catch_trial_black_5,False,
5,checkerboard_separate,False,0.51
6,catch_trial_black_2,False,
7,sbc,False,0.49
8,catch_trial_white_3,False,
9,bullseye_high_freq,False,0.5
10,catch_trial_black_3,False,
11,sbc_separate,True,0.51
12,catch_trial_black_4,False,
13,checkerboard,True,0.5
14,catch_trial_white_2,False,
15,strip,False,0.49
16,catch_trial_white_1,False,
17,checkerboard,False,0.5
18,catch_trial_black_1,False,
19,whites_separate,False,0.51
20,bullseye_high_freq,True,0.5
21,whites,True,0.5
22,bullseye_low_separate,False,0.49
23,whites_separate,True,0.51
24,strip,True,0.49
25,sbc_separate,False,0.51
26,checkerboard_separate,True,0.51
27,bullseye_low_separate,True,0.49
