trial,stim,likert_flipped,presented_intensity
0,catch_trial_white_4,False,
1,whites_separate,False,0.5
2,catch_trial_white_1,False,
3,bullseye_high_freq,False,0.49
4,catch_trial_black_4,False,
5,sbc,False,0.51
6,catch_trial_black_5,False,
7,checkerboard_separate,False,0.5
8,catch_trial_black_3,False,
9,bullseye_high_freq,True,0.49
10,catch_trial_black_1,False,
11,sbc,True,0.51
12,catch_trial_white_3,False,
13,strip,True,0.51
14,catch_trial_white_5,False,
15,sbc_separate,True,0.5
16,catch_trial_white_2,False,
17,bullseye_low_separate,True,0.51
18,catch_trial_black_2,False,
19,bullseye_low_separate,False,0.51
20,whites_separate,True,0.5
21,sbc_separate,False,0.5
22,whites,False,0.49
23,whites,True,0.49
24,checkerboard_separate,True,0.5
25,checkerboard,False,0.49
26,strip,False,0.51
27,checkerboard,True,0.49
