trial,stim,likert_flipped,presented_intensity
0,catch_trial_white_1,False,
1,sbc_separate,True,0.5
2,catch_trial_white_3,False,
3,checkerboard_separate,False,0.5
4,catch_trial_black_1,False,
5,whites,False,0.49
6,catch_trial_black_5,False,
7,checkerboard,True,0.49
8,catch_trial_white_2,False,
9,bullseye_low_separate,False,0.51
10,catch_trial_white_5,False,
11,bullseye_low_separate,True,0.51
12,catch_trial_black_3,False,
13,strip,False,0.51
14,catch_trial_white_4,False,
15,checkerboard_separate,True,0.5
16,catch_trial_black_2,False,
17,whites_separate,True,0.5
18,catch_trial_black_4,False,
19,sbc,True,0.51
20,whites,True,0.49
21,whites_separate,False,0.5
22,sbc,False,0.51
23,bullseye_high_freq,True,0.49
24,checkerboard,False,0.49
25,sbc_separate,False,0.5
26,strip,True,0.51
27,bullseye_high_freq,False,0.49
