trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_white_3,Left,0.5,False
1,checkerboard_separate,Right,0.51,True
2,strip,Left,0.49,True
3,sbc,Right,0.49,False
4,sbc_separate,Right,0.51,False
5,catch_trial_black_3,Left,0.5,False
6,whites_separate,Right,0.51,True
7,sbc_separate,Left,0.51,False
8,bullseye_high_freq,Right,0.5,False
9,checkerboard,Left,0.5,True
10,catch_trial_white_3,Right,0.5,False
11,whites_separate,Left,0.51,True
12,whites,Left,0.5,False
13,checkerboard_separate,Left,0.51,True
14,checkerboard,Right,0.5,True
15,catch_trial_black_3,Right,0.5,False
16,sbc,Left,0.49,True
17,bullseye_low_separate,Left,0.49,True
18,whites,Right,0.5,True
19,strip,Right,0.49,True
20,bullseye_low_separate,Right,0.49,True
21,bullseye_high_freq,Left,0.5,False
