trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_white_3,Left,0.5,False
1,sbc_separate,Left,0.51,False
2,bullseye_high_freq,Left,0.5,False
3,checkerboard_separate,Left,0.51,True
4,sbc,Right,0.49,True
5,catch_trial_white_3,Right,0.5,False
6,whites,Right,0.5,True
7,bullseye_low_separate,Right,0.49,False
8,sbc_separate,Right,0.51,True
9,bullseye_low_separate,Left,0.49,True
10,catch_trial_black_3,Right,0.5,False
11,checkerboard_separate,Right,0.51,True
12,whites_separate,Right,0.51,False
13,strip,Right,0.49,True
14,checkerboard,Left,0.5,False
15,catch_trial_black_3,Left,0.5,False
16,whites,Left,0.5,False
17,whites_separate,Left,0.51,True
18,bullseye_high_freq,Right,0.5,True
19,sbc,Left,0.49,False
20,checkerboard,Right,0.5,True
21,strip,Left,0.49,True
